epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,4515.55,1.48185,0.99352,0.92006,0.80843,0.64547,0.72787,0.52196,1.43609,0.92995,0.92909,0.000185231,0.000185231,0.000185231
126,4550.77,1.46727,0.9766,0.91908,0.80198,0.6728,0.73303,0.53181,1.41282,0.91474,0.92815,0.000182692,0.000182692,0.000182692
127,4587.43,1.44685,0.95755,0.91344,0.81485,0.67121,0.73886,0.52057,1.43111,0.90955,0.93102,0.000180154,0.000180154,0.000180154
128,4622.54,1.46058,0.96848,0.91993,0.80151,0.66883,0.73422,0.53036,1.41872,0.90203,0.92638,0.000177615,0.000177615,0.000177615
129,4660.41,1.45048,0.95864,0.91677,0.83651,0.64458,0.73155,0.52952,1.40282,0.89806,0.92604,0.000175077,0.000175077,0.000175077
130,4695.89,1.45077,0.95279,0.91624,0.81896,0.65233,0.73827,0.52936,1.41786,0.89476,0.92757,0.000172538,0.000172538,0.000172538
131,4731.98,1.42429,0.93955,0.91058,0.80995,0.67681,0.73772,0.52672,1.41264,0.90208,0.92879,0.00017,0.00017,0.00017
132,4767.48,1.45931,0.96135,0.91253,0.78528,0.68241,0.73919,0.53524,1.40139,0.89063,0.92709,0.000167462,0.000167462,0.000167462
133,4803.83,1.45557,0.94777,0.91423,0.79026,0.68464,0.73678,0.5347,1.40272,0.8879,0.92544,0.000164923,0.000164923,0.000164923
134,4838.97,1.44259,0.94618,0.91529,0.83808,0.67115,0.7442,0.54229,1.39311,0.87376,0.92315,0.000162385,0.000162385,0.000162385
135,4875.98,1.43743,0.94549,0.90924,0.81009,0.68234,0.74455,0.53151,1.41943,0.87709,0.92745,0.000159846,0.000159846,0.000159846
136,4911.25,1.43119,0.9449,0.91581,0.80394,0.66278,0.73603,0.5282,1.41802,0.89728,0.92641,0.000157308,0.000157308,0.000157308
137,4947.92,1.45021,0.9564,0.91858,0.80745,0.67583,0.73735,0.53257,1.4072,0.89232,0.92564,0.000154769,0.000154769,0.000154769
138,4983.66,1.4424,0.93802,0.91485,0.81838,0.67214,0.74105,0.5358,1.39785,0.89174,0.9251,0.000152231,0.000152231,0.000152231
139,5019.45,1.42487,0.93268,0.9083,0.81428,0.67005,0.74043,0.54018,1.38608,0.88586,0.92126,0.000149692,0.000149692,0.000149692
140,5056.32,1.4023,0.91396,0.91372,0.81533,0.67095,0.74112,0.53275,1.41146,0.88461,0.92562,0.000147154,0.000147154,0.000147154
141,5092.77,1.44216,0.95346,0.91331,0.83008,0.65525,0.73771,0.52577,1.41426,0.8891,0.92755,0.000144615,0.000144615,0.000144615
142,5128.71,1.44872,0.95227,0.91159,0.80483,0.67892,0.74516,0.53971,1.40038,0.87553,0.92316,0.000142077,0.000142077,0.000142077
143,5164.37,1.42224,0.93532,0.91364,0.78507,0.69334,0.748,0.54337,1.39257,0.86758,0.92027,0.000139538,0.000139538,0.000139538
